================================================================================
TRAINING SUMMARY
================================================================================
Total Episodes: 13864
Total Time: 355.3 minutes (21315.6 seconds)
Avg Time/Episode: 1.54 seconds
Device Used: cuda
Final Epsilon: 0.0100
Final Mean Reward (last 50 episodes): -5.95
Overall Mean Reward: -4.52 +- 1.75
Best Reward: -0.97
Worst Reward: -10.64
================================================================================

EPOCH DETAILS:
--------------------------------------------------------------------------------
Epoch   Episodes    Mean        Std       Min       Max       Epsilon   
--------------------------------------------------------------------------------
1       273         -5.98       1.81      -9.76     -0.99     0.7610    
2       282         -5.68       2.03      -10.22    -1.77     0.5739    
3       281         -5.28       2.02      -10.36    -1.68     0.4333    
4       284         -5.15       1.92      -10.64    -1.76     0.3261    
5       281         -4.99       1.81      -8.90     -1.32     0.2462    
6       273         -4.88       1.85      -10.09    -1.59     0.1873    
7       280         -4.61       1.76      -9.30     -1.60     0.1416    
8       275         -4.63       1.69      -10.07    -1.67     0.1075    
9       280         -4.56       1.70      -10.25    -1.64     0.0812    
10      274         -4.52       1.65      -8.71     -1.63     0.0618    
11      280         -4.38       1.69      -8.75     -0.98     0.0467    
12      276         -4.41       1.69      -9.04     -1.55     0.0354    
13      278         -4.31       1.64      -8.41     -1.39     0.0268    
14      276         -4.44       1.64      -8.37     -1.50     0.0203    
15      277         -4.34       1.63      -8.73     -1.49     0.0154    
16      272         -4.30       1.65      -8.13     -0.97     0.0117    
17      276         -4.42       1.59      -8.15     -1.41     0.0100    
18      278         -4.26       1.64      -8.58     -1.67     0.0100    
19      273         -4.44       1.62      -7.99     -1.34     0.0100    
20      281         -4.16       1.57      -8.09     -1.55     0.0100    
21      279         -4.31       1.71      -9.41     -1.14     0.0100    
22      274         -4.39       1.70      -9.09     -1.34     0.0100    
23      282         -4.18       1.59      -7.70     -1.45     0.0100    
24      280         -4.09       1.52      -8.46     -1.44     0.0100    
25      277         -4.29       1.71      -7.99     -1.39     0.0100    
26      277         -4.18       1.61      -8.00     -0.99     0.0100    
27      277         -4.19       1.65      -7.99     -1.50     0.0100    
28      272         -4.30       1.63      -9.16     -1.34     0.0100    
29      277         -4.31       1.66      -9.28     -1.50     0.0100    
30      278         -4.20       1.66      -8.05     -1.42     0.0100    
31      274         -4.27       1.67      -8.24     -1.48     0.0100    
32      275         -4.20       1.63      -8.47     -1.34     0.0100    
33      275         -4.49       1.67      -8.80     -1.58     0.0100    
34      279         -4.36       1.68      -9.64     -1.32     0.0100    
35      280         -4.34       1.67      -8.34     -1.28     0.0100    
36      277         -4.56       1.70      -9.34     -1.68     0.0100    
37      281         -4.48       1.77      -9.39     -1.57     0.0100    
38      277         -4.57       1.78      -9.50     -1.27     0.0100    
39      278         -4.43       1.74      -8.53     -0.98     0.0100    
40      276         -4.44       1.77      -8.79     -1.27     0.0100    
41      272         -4.54       1.73      -9.58     -0.99     0.0100    
42      275         -4.33       1.60      -9.84     -1.62     0.0100    
43      275         -4.27       1.62      -8.96     -1.67     0.0100    
44      274         -4.47       1.72      -8.93     -1.44     0.0100    
45      279         -4.58       1.69      -8.69     -1.65     0.0100    
46      279         -4.45       1.76      -9.48     -1.50     0.0100    
47      279         -4.42       1.73      -9.06     -1.14     0.0100    
48      276         -4.79       1.88      -9.64     -1.55     0.0100    
49      279         -4.84       1.97      -10.17    -1.27     0.0100    
50      281         -4.74       1.82      -9.40     -1.16     0.0100    
