Total Episodes: 14613
Total Time: 169.8 min
Final Epsilon: 0.2319
Mean Reward: -5.92 +/- 2.01
Best Reward: -1.19
Worst Reward: -12.24

======================================================================
Epoch   Mean        Std       Min       Max       Epsilon   
======================================================================
1       -6.61       1.98      -10.90    -1.72     0.9712    
2       -7.23       2.09      -11.38    -2.03     0.9434    
3       -6.32       1.97      -10.76    -1.79     0.9162    
4       -6.28       2.17      -10.84    -1.52     0.8898    
5       -6.64       2.02      -11.55    -1.49     0.8641    
6       -6.55       1.96      -11.11    -1.54     0.8390    
7       -6.44       1.97      -10.69    -1.56     0.8149    
8       -6.44       2.02      -10.35    -1.88     0.7914    
9       -6.38       2.02      -10.76    -1.56     0.7685    
10      -6.70       2.00      -11.22    -1.53     0.7463    
11      -6.91       1.98      -10.76    -1.78     0.7248    
12      -6.39       1.99      -11.10    -1.19     0.7040    
13      -6.34       1.95      -11.20    -1.51     0.6837    
14      -6.21       2.08      -10.94    -1.87     0.6641    
15      -6.31       2.01      -10.40    -1.52     0.6448    
16      -6.03       2.09      -10.82    -1.46     0.6262    
17      -6.20       1.94      -10.64    -1.74     0.6082    
18      -6.01       2.09      -10.71    -1.30     0.5908    
19      -6.07       2.08      -11.69    -1.21     0.5738    
20      -6.23       1.97      -10.76    -1.44     0.5573    
21      -6.38       1.89      -10.44    -2.05     0.5412    
22      -5.91       1.93      -11.47    -1.56     0.5256    
23      -5.73       2.00      -10.48    -1.71     0.5105    
24      -5.73       1.90      -10.89    -1.52     0.4956    
25      -6.06       1.88      -10.56    -1.78     0.4814    
26      -5.89       1.96      -10.55    -1.73     0.4674    
27      -5.67       1.95      -10.62    -1.81     0.4540    
28      -6.12       2.02      -11.85    -1.63     0.4410    
29      -5.82       1.94      -10.39    -1.47     0.4283    
30      -5.65       1.77      -10.11    -1.87     0.4159    
31      -5.60       1.90      -12.24    -2.00     0.4040    
32      -5.45       1.89      -10.31    -1.55     0.3924    
33      -5.68       1.97      -11.15    -1.77     0.3811    
34      -5.44       1.89      -11.17    -1.54     0.3701    
35      -5.42       1.90      -9.53     -1.21     0.3594    
36      -5.59       1.88      -9.42     -1.53     0.3491    
37      -5.44       1.94      -10.31    -1.75     0.3391    
38      -5.78       1.89      -10.12    -1.91     0.3293    
39      -5.34       1.85      -10.90    -1.62     0.3197    
40      -5.15       1.98      -10.07    -1.46     0.3106    
41      -5.70       1.92      -10.88    -1.68     0.3016    
42      -5.21       1.64      -10.04    -1.59     0.2930    
43      -5.66       1.81      -10.51    -1.81     0.2845    
44      -5.23       1.76      -9.59     -1.65     0.2763    
45      -5.74       1.86      -10.82    -1.50     0.2683    
46      -5.41       1.91      -10.52    -1.66     0.2607    
47      -5.17       1.88      -10.19    -1.30     0.2531    
48      -5.12       1.78      -9.98     -1.56     0.2458    
49      -5.42       1.81      -10.81    -1.39     0.2387    
50      -4.97       1.77      -9.76     -1.58     0.2319    
