route_id,raw_instance_id,base_instance,relative_path,network_group,terrain_variant,vehicle_index,n_customers,n_vehicles,route_demand,route_distance,total_distance,fixed_vehicle_cost,lexicographic_objective,routing_feasible,routing_tw_feasible,charging_feasibility_status,route_source_instance_id,terrain_reuse,fleet_policy,generator,generator_version,seed,n_iterations,config_hash,physics_profile,unassigned_customer_ids
c101_50_21_NL__v0,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,0,6,7,1460.0,73.96,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101_50_21_NL__v1,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,1,8,7,2372.5,158.756,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101_50_21_NL__v2,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,2,7,7,2737.5,133.238,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101_50_21_NL__v3,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,3,5,7,1277.5,140.658,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101_50_21_NL__v4,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,4,6,7,2555.0,97.88,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101_50_21_NL__v5,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,5,10,7,2737.5,138.401,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101_50_21_NL__v6,c101_50_21_NL,c101,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,Large_Network,NL,6,8,7,3285.0,128.143,871.036,9434001,66909043.0,True,True,unverified,c101_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102_50_21_NL__v0,c102_50_21_NL,c102,Large_Network/50_Customers/Nearly_Level/c102_50_21_NL.txt,Large_Network,NL,0,10,5,2737.5,168.475,880.263,9124101,46500768.0,True,True,unverified,c102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102_50_21_NL__v1,c102_50_21_NL,c102,Large_Network/50_Customers/Nearly_Level/c102_50_21_NL.txt,Large_Network,NL,1,10,5,3102.5,186.167,880.263,9124101,46500768.0,True,True,unverified,c102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102_50_21_NL__v2,c102_50_21_NL,c102,Large_Network/50_Customers/Nearly_Level/c102_50_21_NL.txt,Large_Network,NL,2,10,5,3650.0,258.887,880.263,9124101,46500768.0,True,True,unverified,c102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
