split,base_instance,instance_id,relative_path,customer_distribution,schedule_type,has_large
test,c101,c101C10_L,Small_Network/10_Customers/Level/c101C10_L.txt,c,1,True
test,c101,c101C10_NL,Small_Network/10_Customers/Nearly_Level/c101C10_NL.txt,c,1,True
test,c101,c101C10_VG,Small_Network/10_Customers/Very_Gentle/c101C10_VG.txt,c,1,True
test,c101,c101C25_NL,Medium_Network/25_Customers/Nearly_Level/c101C25_NL.txt,c,1,True
test,c101,c101C5_L,Small_Network/5_Customers/Level/c101C5_L.txt,c,1,True
test,c101,c101C5_NL,Small_Network/5_Customers/Nearly_Level/c101C5_NL.txt,c,1,True
test,c101,c101C5_VG,Small_Network/5_Customers/Very_Gentle/c101C5_VG.txt,c,1,True
test,c101,c101_50_21_NL,Large_Network/50_Customers/Nearly_Level/c101_50_21_NL.txt,c,1,True
test,c205,c205C10_L,Small_Network/10_Customers/Level/c205C10_L.txt,c,2,False
test,c205,c205C10_NL,Small_Network/10_Customers/Nearly_Level/c205C10_NL.txt,c,2,False
test,c205,c205C10_VG,Small_Network/10_Customers/Very_Gentle/c205C10_VG.txt,c,2,False
test,r110,r110C25_NL,Medium_Network/25_Customers/Nearly_Level/r110C25_NL.txt,r,1,False
test,r201,r201C10_L,Small_Network/10_Customers/Level/r201C10_L.txt,r,2,False
test,r201,r201C10_NL,Small_Network/10_Customers/Nearly_Level/r201C10_NL.txt,r,2,False
test,r201,r201C10_VG,Small_Network/10_Customers/Very_Gentle/r201C10_VG.txt,r,2,False
test,rc102,rc102C10_L,Small_Network/10_Customers/Level/rc102C10_L.txt,rc,1,False
test,rc102,rc102C10_NL,Small_Network/10_Customers/Nearly_Level/rc102C10_NL.txt,rc,1,False
test,rc102,rc102C10_VG,Small_Network/10_Customers/Very_Gentle/rc102C10_VG.txt,rc,1,False
test,rc208,rc208C5_L,Small_Network/5_Customers/Level/rc208C5_L.txt,rc,2,False
test,rc208,rc208C5_NL,Small_Network/5_Customers/Nearly_Level/rc208C5_NL.txt,rc,2,False
test,rc208,rc208C5_VG,Small_Network/5_Customers/Very_Gentle/rc208C5_VG.txt,rc,2,False
train,c102,c102C25_NL,Medium_Network/25_Customers/Nearly_Level/c102C25_NL.txt,c,1,True
train,c102,c102_50_21_NL,Large_Network/50_Customers/Nearly_Level/c102_50_21_NL.txt,c,1,True
train,c103,c103C15_L,Small_Network/15_Customers/Level/c103C15_L.txt,c,1,False
train,c103,c103C15_NL,Small_Network/15_Customers/Nearly_level/c103C15_NL.txt,c,1,False
train,c103,c103C15_VG,Small_Network/15_Customers/Very_Gentle/c103C15_VG.txt,c,1,False
