method,slice,value,n_rows,feasibility,completion_all
DiscretePPO,network_group,Large_Network,21,0.0,1236.0
DiscretePPO,network_group,Medium_Network,27,0.1111111111111111,785.4334110465626
DiscretePPO,network_group,Small_Network,99,0.09090909090909091,1088.0116514070187
DiscretePPO,customer_distribution,c,90,0.06666666666666667,1435.5680969792675
DiscretePPO,customer_distribution,r,21,0.09523809523809523,557.1471003061919
DiscretePPO,customer_distribution,rc,36,0.1111111111111111,388.18438202744187
DiscretePPO,schedule_type,1,120,0.08333333333333333,898.0902725948955
DiscretePPO,schedule_type,2,27,0.07407407407407407,1744.6304768949838
HybridPPO,network_group,Large_Network,21,0.0,1236.0
HybridPPO,network_group,Medium_Network,27,0.2222222222222222,774.3714714932144
HybridPPO,network_group,Small_Network,99,0.1111111111111111,1097.8465032059937
HybridPPO,customer_distribution,c,90,0.12222222222222222,1433.1219587899523
HybridPPO,customer_distribution,r,21,0.14285714285714285,553.1696385257657
HybridPPO,customer_distribution,rc,36,0.08333333333333333,415.36930132148234
HybridPPO,schedule_type,1,120,0.14166666666666666,895.006946230918
HybridPPO,schedule_type,2,27,0.0,1783.3333333333333
HybridPPO_A2,network_group,Large_Network,21,0.0,1236.0
HybridPPO_A2,network_group,Medium_Network,27,0.18518518518518517,778.0508657889067
HybridPPO_A2,network_group,Small_Network,99,0.10101010101010101,1084.7822137355543
HybridPPO_A2,customer_distribution,c,90,0.1,1429.2407600700622
HybridPPO_A2,customer_distribution,r,21,0.09523809523809523,555.4318788319363
HybridPPO_A2,customer_distribution,rc,36,0.1111111111111111,390.58540762066866
HybridPPO_A2,schedule_type,1,120,0.10833333333333334,893.0023660807584
HybridPPO_A2,schedule_type,2,27,0.07407407407407407,1748.0195780159013
HybridPPO_A3,network_group,Large_Network,21,0.0,1236.0
HybridPPO_A3,network_group,Medium_Network,27,0.14814814814814814,779.7124683212265
HybridPPO_A3,network_group,Small_Network,99,0.12121212121212122,1096.2615376938313
HybridPPO_A3,customer_distribution,c,90,0.1111111111111111,1432.8718763611344
HybridPPO_A3,customer_distribution,r,21,0.14285714285714285,553.4486533659692
HybridPPO_A3,customer_distribution,rc,36,0.08333333333333333,415.47884119930467
HybridPPO_A3,schedule_type,1,120,0.13333333333333333,894.9010739696866
HybridPPO_A3,schedule_type,2,27,0.0,1783.3333333333333
HybridPPO_A4,network_group,Large_Network,21,0.0,1236.0
HybridPPO_A4,network_group,Medium_Network,27,0.14814814814814814,785.0190508807817
HybridPPO_A4,network_group,Small_Network,99,0.1414141414141414,1092.5087563496365
HybridPPO_A4,customer_distribution,c,90,0.13333333333333333,1429.9743764129248
HybridPPO_A4,customer_distribution,r,21,0.14285714285714285,555.089354679853
HybridPPO_A4,customer_distribution,rc,36,0.08333333333333333,415.4253035265266
HybridPPO_A4,schedule_type,1,120,0.15,892.9990104366259
HybridPPO_A4,schedule_type,2,27,0.0,1783.3333333333333
HybridPPO_A5,network_group,Large_Network,21,0.0,1236.0
HybridPPO_A5,network_group,Medium_Network,27,0.1111111111111111,781.3419247865592
HybridPPO_A5,network_group,Small_Network,99,0.09090909090909091,1097.775264295045
HybridPPO_A5,customer_distribution,c,90,0.08888888888888889,1433.96018538962
HybridPPO_A5,customer_distribution,r,21,0.09523809523809523,555.543668821397
HybridPPO_A5,customer_distribution,rc,36,0.05555555555555555,416.9208167814279
HybridPPO_A5,schedule_type,1,120,0.1,896.5165261203879
HybridPPO_A5,schedule_type,2,27,0.0,1783.3333333333333
