method,n_rows,n_feasible,n_failed,reason,count
DiscretePPO,147,12,135,NO_FEASIBLE_ACTION,126
DiscretePPO,147,12,135,ZERO_CHARGE_NOOP,9
DiscretePPO,147,12,135,feasible,12
HybridPPO,147,17,130,NO_FEASIBLE_ACTION,128
HybridPPO,147,17,130,ZERO_CHARGE_NOOP,2
HybridPPO,147,17,130,feasible,17
HybridPPO_A2,147,15,132,NO_FEASIBLE_ACTION,131
HybridPPO_A2,147,15,132,ZERO_CHARGE_NOOP,1
HybridPPO_A2,147,15,132,feasible,15
HybridPPO_A3,147,16,131,NO_FEASIBLE_ACTION,130
HybridPPO_A3,147,16,131,ZERO_CHARGE_NOOP,1
HybridPPO_A3,147,16,131,feasible,16
HybridPPO_A4,147,18,129,NO_FEASIBLE_ACTION,127
HybridPPO_A4,147,18,129,ZERO_CHARGE_NOOP,2
HybridPPO_A4,147,18,129,feasible,18
HybridPPO_A5,147,12,135,NO_FEASIBLE_ACTION,135
HybridPPO_A5,147,12,135,feasible,12
