split,method,route_id,base_instance,n_customers,network_group,feasible,reason,completion_time,n_station_visits,n_station_revisits,consecutive_same_station,loop_guard_hit,return_value,horizon,n_continue,n_charge
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v0,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0,False,-1959.1672335576263,1236.0,3,2
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v1,c102,10,Large_Network,False,ZERO_CHARGE_NOOP,1236.0,0,0,0,False,-2091.2531675049995,1236.0,2,0
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v2,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-2021.4499945852585,1236.0,3,1
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v3,c102,10,Large_Network,False,ZERO_CHARGE_NOOP,1236.0,12,0,0,False,-1688.477855396417,1236.0,6,12
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v4,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0,False,-1634.2860182378315,1236.0,6,0
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v0,r107,11,Large_Network,False,NO_FEASIBLE_ACTION,230.0,19,0,0,False,-423.34723886825367,230.0,5,19
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v1,r107,7,Large_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-284.0014159326953,230.0,5,1
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v2,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-365.3228310885039,230.0,3,0
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v3,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-326.3076606843274,230.0,4,0
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v4,r107,8,Large_Network,False,ZERO_CHARGE_NOOP,230.0,4,0,0,False,-383.4546942861076,230.0,2,4
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v5,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-312.7202064553621,230.0,5,0
train,GreedyMinimumSufficientCharge,c102C25_NL__v0,c102,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-1902.2789551573173,1236.0,3,1
train,GreedyMinimumSufficientCharge,c102C25_NL__v1,c102,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,18,0,0,False,-1596.103245232662,1236.0,5,18
train,GreedyMinimumSufficientCharge,c102C25_NL__v2,c102,8,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,2,0,0,False,-1771.4652619663725,1236.0,3,2
train,GreedyMinimumSufficientCharge,c104C25_NL__v0,c104,8,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,16,0,0,False,-1399.9334594345744,1236.0,7,16
train,GreedyMinimumSufficientCharge,c104C25_NL__v1,c104,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0,False,-1760.7870866461908,1236.0,4,1
train,GreedyMinimumSufficientCharge,c104C25_NL__v2,c104,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,5,0,0,False,-1350.422205101856,1236.0,7,5
train,GreedyMinimumSufficientCharge,r104C25_NL__v0,r104,9,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,6,0,0,False,-288.5520975726909,230.0,8,6
train,GreedyMinimumSufficientCharge,r104C25_NL__v1,r104,7,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0,False,-300.7439606799677,230.0,6,0
train,GreedyMinimumSufficientCharge,r104C25_NL__v2,r104,9,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,0,0,0,False,-433.8809013552895,230.0,0,0
train,GreedyMinimumSufficientCharge,r107C25_NL__v0,r107,7,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-259.9757747365031,230.0,6,1
train,GreedyMinimumSufficientCharge,r107C25_NL__v1,r107,7,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,0,0,0,False,-419.06483881789205,230.0,0,0
train,GreedyMinimumSufficientCharge,r107C25_NL__v2,r107,7,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0,False,-319.57398550548265,230.0,4,1
train,GreedyMinimumSufficientCharge,r107C25_NL__v3,r107,4,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,2,0,0,False,-211.97224362268005,230.0,4,2
train,GreedyMinimumSufficientCharge,rc101C25_NL__v0,rc101,3,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0,False,-290.28916384272065,240.0,3,1
train,GreedyMinimumSufficientCharge,rc101C25_NL__v1,rc101,5,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,2,0,0,False,-322.20407221060066,240.0,3,2
train,GreedyMinimumSufficientCharge,rc101C25_NL__v2,rc101,4,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,3,0,0,False,-294.347213549854,240.0,2,3
train,GreedyMinimumSufficientCharge,rc101C25_NL__v3,rc101,7,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,2,0,0,False,-372.65905112949065,240.0,3,2
train,GreedyMinimumSufficientCharge,rc101C25_NL__v4,rc101,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,0,0,0,False,-415.305550702457,240.0,0,0
train,GreedyMinimumSufficientCharge,rc103C25_NL__v0,rc103,10,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,6,0,0,False,-378.4303777092824,240.0,4,6
train,GreedyMinimumSufficientCharge,rc103C25_NL__v1,rc103,5,Medium_Network,True,,214.7719102569821,3,0,0,False,-214.7719102569821,240.0,6,3
train,GreedyMinimumSufficientCharge,rc103C25_NL__v2,rc103,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,11,0,0,False,-362.02450870959314,240.0,4,11
train,GreedyMinimumSufficientCharge,rc103C25_NL__v3,rc103,4,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0,False,-258.02775637732,240.0,4,1
train,GreedyMinimumSufficientCharge,rc104C25_NL__v0,rc104,5,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,13,0,0,False,-324.60651353033745,240.0,4,13
train,GreedyMinimumSufficientCharge,rc104C25_NL__v1,rc104,8,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,2,0,0,False,-294.9427739134882,240.0,7,2
train,GreedyMinimumSufficientCharge,rc104C25_NL__v2,rc104,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,7,0,0,False,-318.10724264184853,240.0,4,7
train,GreedyMinimumSufficientCharge,rc104C25_NL__v3,rc104,6,Medium_Network,False,ZERO_CHARGE_NOOP,240.0,3,0,0,False,-201.92113447068044,240.0,6,3
train,GreedyMinimumSufficientCharge,rc106C25_NL__v0,rc106,6,Medium_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0,False,-257.11724276862367,240.0,6,1
