split,method,route_id,base_instance,n_customers,network_group,feasible,reason,completion_time,n_station_visits,consecutive_same_station,repeat_energy_added,repeat_time_added,loop_guard_hit,return_value,horizon,n_continue,n_charge
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v0,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,50,0,0.0,0.0,True,-1236.0,1236.0,3,50
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v1,c102,10,Large_Network,False,ZERO_CHARGE_NOOP,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,2,0
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v2,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,3,1
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v3,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,52,0,0.0,0.0,True,-1236.0,1236.0,6,52
train,GreedyMinimumSufficientCharge,c102_50_21_NL__v4,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,6,0
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v0,r107,11,Large_Network,False,NO_FEASIBLE_ACTION,230.0,51,0,0.0,0.0,True,-230.0,230.0,5,51
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v1,r107,7,Large_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0.0,0.0,False,-230.0,230.0,5,1
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v2,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,3,0
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v3,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,4,0
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v4,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,2,50
train,GreedyMinimumSufficientCharge,r107_50_21_NL__v5,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,5,0
train,GreedyMinimumSufficientCharge,c102C25_NL__v0,c102,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,3,1
train,GreedyMinimumSufficientCharge,c102C25_NL__v1,c102,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,52,0,0.0,0.0,True,-1236.0,1236.0,5,52
train,GreedyMinimumSufficientCharge,c102C25_NL__v2,c102,8,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,2,0,0.0,0.0,False,-1236.0,1236.0,3,2
train,GreedyMinimumSufficientCharge,c104C25_NL__v0,c104,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,52,0,0.0,0.0,True,-1236.0,1236.0,7,52
train,GreedyMinimumSufficientCharge,c104C25_NL__v1,c104,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,4,1
train,GreedyMinimumSufficientCharge,c104C25_NL__v2,c104,8,Medium_Network,False,ZERO_CHARGE_NOOP,1236.0,4,0,0.0,0.0,False,-1236.0,1236.0,7,4
train,GreedyMinimumSufficientCharge,r104C25_NL__v0,r104,9,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,52,0,0.0,0.0,True,-230.0,230.0,8,52
train,GreedyMinimumSufficientCharge,r104C25_NL__v1,r104,7,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,6,0
train,GreedyMinimumSufficientCharge,r104C25_NL__v2,r104,9,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,0,0,0.0,0.0,False,-230.0,230.0,0,0
train,GreedyMinimumSufficientCharge,r107C25_NL__v0,r107,7,Medium_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0.0,0.0,False,-230.0,230.0,6,1
train,GreedyMinimumSufficientCharge,r107C25_NL__v1,r107,7,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,0,0,0.0,0.0,False,-230.0,230.0,0,0
