method,n,feasibility_mean,feasibility_ci95_lo,feasibility_ci95_hi,time_feasible_mean,time_feasible_ci95_lo,time_feasible_ci95_hi,time_all_mean,time_all_ci95_lo,time_all_ci95_hi,runtime_mean
AttentionPPO,49,0.030864197530864196,0.0,0.06790123456790123,635.0990778641102,191.83295860305637,856.732137494637,1055.00606599168,480.77468441857513,2136.743379171529,0.5781131142860858
DiscretePPO,49,0.006172839506172839,0.0,0.018518518518518517,978.6011394964714,978.6011394964714,978.6011394964714,1066.2163497856423,481.6666666666667,2143.8222362900797,1.357883167346495
FRVCPGreedyFull,2,0.5,0.0,1.0,2.764411764705882,2.764411764705882,2.764411764705882,6.384426714031622,2.764411764705882,10.004441663357362,
FRVCPGreedyMin,2,0.5,0.0,1.0,2.3455882352941178,2.3455882352941178,2.3455882352941178,1.1727941176470589,0.0,2.3455882352941178,
GreedyFullCharge,49,0.1095679012345679,0.012345679012345678,0.220679012345679,706.3994263160371,193.0308432035358,1113.2642286251034,1054.399953168656,446.2698778899089,2140.762438926693,0.13920553877509592
GreedyMinimumSufficientCharge,69,0.0,0.0,0.0,,,,1119.159420289855,781.4,1754.0,0.17850983913091983
HybridPPO,69,0.002325581395348837,0.0,0.0069767441860465115,978.6011394953257,978.6011394953257,978.6011394953257,1115.4290020216713,780.8013979988264,1754.0,1.5800330753616805
HybridPPO_A1,49,0.006172839506172839,0.0,0.018518518518518517,978.6011394964714,978.6011394964714,978.6011394964714,1066.2163497856423,481.6666666666667,2143.8222362900797,1.28836051836712
HybridPPO_A2,49,0.047839506172839504,0.0,0.13117283950617284,588.8226052428665,201.43815311456828,976.2070573711648,1065.5845961323619,478.0964358059877,2143.7926797206314,1.8235968857142677
HybridPPO_A3,49,0.06790123456790123,0.0,0.17901234567901234,755.6355155924449,431.5732697873687,917.666638494983,1047.6919703423946,452.3096260992982,2137.4732503332093,2.0003445795919848
HybridPPO_A4,49,0.006172839506172839,0.0,0.018518518518518517,856.732137494637,856.732137494637,856.732137494637,1063.7292272958089,481.6666666666667,2142.3176807098102,1.563249728571575
HybridPPO_A5,49,0.06172839506172839,0.0,0.1728395061728395,644.1527036410027,431.57326978736864,856.732137494637,1052.9450083118777,452.3096260992982,2140.6510140431437,1.5877483836727095
LabelSettingRCSPP,4,0.0,0.0,0.0,,,,1236.0,1236.0,1236.0,
LegacyTwoStageDDQN,49,0.08487654320987655,0.018518518518518517,0.16820987654320987,777.1204331086009,184.91894537878542,1071.193202517321,1056.1371958908492,476.0255025370862,2137.841373186882,0.978141751020674
OneStepLookahead,49,0.0,0.0,0.0,,,,1071.469387755102,481.6666666666667,2147.0,12.332475891837504
frvcpy_Solver,2,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.00015360000179498456
