method,n,mean_feasible,median_feasible,sd_feasible,ci95_lo_feasible,ci95_hi_feasible,mean_all_H_for_failures,ci95_lo_all,ci95_hi_all
AttentionPPO,3,635.0990778641102,856.732137494637,383.8797199170152,191.83295860305637,856.732137494637,1055.00606599168,480.77468441857513,2136.743379171529
DiscretePPO,1,978.6011394964714,978.6011394964714,0.0,978.6011394964714,978.6011394964714,1066.2163497856423,481.6666666666667,2143.8222362900797
GreedyFullCharge,4,706.3994263160371,740.3454540916154,478.8262422273693,193.0308432035358,1113.2642286251034,1054.399953168656,446.2698778899089,2140.762438926693
GreedyMinimumSufficientCharge,0,,,,,,1119.159420289855,781.4,1754.0
HybridPPO,1,978.6011394953257,978.6011394953257,0.0,978.6011394953257,978.6011394953257,1115.4290020216713,780.8013979988264,1754.0
HybridPPO_A1,1,978.6011394964714,978.6011394964714,0.0,978.6011394964714,978.6011394964714,1066.2163497856423,481.6666666666667,2143.8222362900797
HybridPPO_A2,2,588.8226052428665,588.8226052428665,547.8443460523104,201.43815311456828,976.2070573711648,1065.5845961323619,478.0964358059877,2143.7926797206314
HybridPPO_A3,3,755.6355155924449,856.732137494637,287.1850758297398,431.5732697873687,917.666638494983,1047.6919703423946,452.3096260992982,2137.4732503332093
HybridPPO_A4,1,856.732137494637,856.732137494637,0.0,856.732137494637,856.732137494637,1063.7292272958089,481.6666666666667,2142.3176807098102
HybridPPO_A5,2,644.1527036410027,644.1527036410027,300.6327184374037,431.57326978736864,856.732137494637,1052.9450083118777,452.3096260992982,2140.6510140431437
LegacyTwoStageDDQN,6,777.1204331086009,1047.336529413521,456.4075738226283,184.91894537878542,1071.193202517321,1056.1371958908492,476.0255025370862,2137.841373186882
OneStepLookahead,0,,,,,,1071.469387755102,481.6666666666667,2147.0
