method,n,mean_runtime_s,median_runtime_s
AttentionPPO,49,0.5781131142860858,0.5180059999984223
DiscretePPO,49,1.357883167346495,0.610589700001583
GreedyFullCharge,49,0.13920553877509592,0.1990111999984947
GreedyMinimumSufficientCharge,69,0.17850983913091983,0.20188970000162954
HybridPPO,69,1.5800330753616805,0.658374200000253
HybridPPO_A1,49,1.28836051836712,0.5509042999983649
HybridPPO_A2,49,1.8235968857142677,1.4554532999973162
HybridPPO_A3,49,2.0003445795919848,1.5198730000047362
HybridPPO_A4,49,1.563249728571575,0.5472219000002951
HybridPPO_A5,49,1.5877483836727095,0.5764347000003909
LegacyTwoStageDDQN,49,0.978141751020674,0.5603568000005907
OneStepLookahead,49,12.332475891837504,7.002667700005986
